# Estimated Coulombstress in Roof region of gallery in Morsleben (from Dirk Becker) (see Dahm, 2022, fig 7)
# Coulombstress_in_Pa   day_since_filling
3130760.84  54.771
3098695.00  54.812
3071496.39  54.854
3051483.19  54.896
3040973.62  54.938
3040080.36  54.979
3040834.45  55.021
3042148.51  55.062
3043894.68  55.104
3045945.08  55.146
3048171.83  55.188
3050447.08  55.229
3052642.93  55.271
3054631.52  55.312
3056284.98  55.354
3057475.44  55.396
3058075.02  55.438
3057609.16  55.479
3054981.23  55.521
3050473.09  55.562
3044480.45  55.604
3037399.03  55.646
3029624.56  55.688
3021552.75  55.729
3013579.32  55.771
3006099.99  55.812
2999510.48  55.854
2994206.50  55.896
2990583.78  55.938
2989038.03  55.979
2990529.80  56.021
2995632.82  56.062
3003357.75  56.104
3012692.37  56.146
3022624.48  56.188
3032141.87  56.229
3040232.32  56.271
3045883.62  56.312
3048083.56  56.354
3043733.84  56.396
3031355.51  56.438
3012848.88  56.479
2990116.77  56.521
2965062.04  56.562
2939587.50  56.604
2915595.99  56.646
2894990.34  56.688
2879634.50  56.729
2866039.48  56.771
2853456.66  56.812
2845455.07  56.854
2844379.48  56.896
2847544.50  56.938
2854508.02  56.979
2862200.63  57.021
2870632.31  57.062
2881311.27  57.104
2895736.36  57.146
2911409.27  57.188
2928309.72  57.229
2943958.96  57.271
2958077.44  57.312
2961095.69  57.354
2960530.24  57.396
2960066.76  57.438
2963633.85  57.479
2971768.56  57.521
2974717.76  57.562
